text,link,race_label,race_discussed
"HAPPY BIRTHDAY for Saturday, Feb. 25, 2017: This year you head in a new direction. Your determinatio",https://drive.google.com/open?id=1tkTCeDSozTYDkYtAKKaYoykE9KcvgD8j&usp=drive_copy,N/A - not specified,0
"caryn and i raised our kids together. we were kids together, but we didn't know it then. we thought ",https://drive.google.com/open?id=1uDGrBXDmlRUK7wY6A68k2ANwvmVmHaKH&usp=drive_copy,White,1
christopher weigl was ready to submit his ­final project of the semester wednesday for a multimedia,https://drive.google.com/open?id=1UJU6q-Tc-gtkp_EWtYXZhDvxgMhiqlTD&usp=drive_copy,N/A - not specified,0
South African riot police fired rubber bullets to disperse immigrants and protesters who clashed dur,https://drive.google.com/open?id=1NTqV9ZsSQOmH_lNu9gobripVdtOcRhVf&usp=drive_copy,Black,1
"q. i am in seventh grade. i think that my parents' marriage is happy, but they have problems. i thin",https://drive.google.com/open?id=1QSKde0Pks3kjqjMS0qa2OMfERSyp3kY_&usp=drive_copy,N/A - not specified,0
christopher weigl was ready to submit his ­final project of the semester wednesday for a multimedia,https://drive.google.com/file/d/1UJU6q-Tc-gtkp_EWtYXZhDvxgMhiqlTD/view,N/A - not specified,0
then an ambitious 13-part series produced for public radio about ordinary people struggling to live,https://drive.google.com/open?id=1nk_CY6Ww0V86tLUp0nfvhqmoL8T8QrF5&usp=drive_copy,N/A - not specified,0
"olympic cycling champion tyler hamilton, who is facing a two-year doping ban, was dropped last week ",https://drive.google.com/file/d/1nLlJVrZBboIWtN15TTLfchg9vSpKYG99/view,N/A - not specified,0
mayor menino yesterday effectively quashed boston university president john silber's publicly expres,https://drive.google.com/file/d/1EYWP4Cz4YcdRQTGP6PkEtN1jclhDCbJc/view,N/A - not specified,0
"washington - americans increased their spending more slowly in march, suggesting some are worried th",https://drive.google.com/file/d/1nkpHmV6jnWpHX7OmWocNrfsElcJzwReT/view,N/A - not specified,0
"friends and foes agree on this much about stephen p. tocco: the man sure can make trouble, but he kn",https://drive.google.com/file/d/1TjdCFopoXBLr-RWMI6X5wzBX4Ps4Lfty/view,N/A - not specified,0
"president beji caid essebsi said the bardo museum attack involved three men, one of whom escaped. tu",https://drive.google.com/file/d/1DSv8RgG5sPymsiKovtuGopC4NlxUzjje/view,N/A - not specified,0
It's expected that virtually all home audio devices will be wireless by 2019.Left: Powerbeats3 from,https://drive.google.com/file/d/1hlaMcW7ljP9YrOa9vDohwxn-POr8qjM-/view,N/A - not specified,0
"gerhard lauck works hard to dispel people's assumptions about neo-nazis: he laughs frequently, makes",https://drive.google.com/file/d/1jaApEmHqYa04O4UKMABr3Tq0s9btnNOQ/view,Asian,1
"cambridge - when dancer/choreographer beth soll left boston in 1997, it was a real loss to the area'",https://drive.google.com/file/d/1Nw_s0gU0bUU9uir2uYWrBpBBxsnjXCT6/view,N/A - not specified,0
"the fbi said the ""incognito bandit"" is considered to be armed and dangerous. the fbi is offering a r",https://drive.google.com/file/d/1zUbOP62NCFWS01eGi8t840yMznDz3kwt/view,N/A - not specified,0
The St. John's Prep hockey team took the ice at Essex Sports Center on Friday afternoon with its fat,https://drive.google.com/file/d/1pGXL523cAH-as3NFvuQK0BPHj9O_alLA/view,N/A - not specified,0
"the red saab turns sharply around the corner into leonard morse hospital, almost hitting helen moore",https://drive.google.com/file/d/1Y_uGpdiZrY9jYvWw2aK5YNfpwP_68CuL/view,N/A - not specified,0
"A Jeep Wagoneer, believed to be from the 1960s, was pulled from the shed in two pieces. For decades,",https://drive.google.com/file/d/1jJRiBWbIT0OpnnLu826QuIYCOfHJH0MJ/view,N/A - not specified,0
"kerafast helps research teams find biologic materials they need, like the cell culture at right. chi",https://drive.google.com/file/d/1-SBwvC5ZVFqKH6sB2HDfHxYIA4K-f5i1/view,N/A - not specified,0
"fresh off punching their ticket to the ncaa tournament, the boston university basketball team gather",https://drive.google.com/file/d/1loBrWGxRLUP5AYPk6da3cON7eiSvBU_r/view,N/A - not specified,0
"music review sarah brightman at: the td banknorth garden, monday night for a former stage actress wh",https://drive.google.com/file/d/1L9bkTFEcwJ5bN8texmEvcJi8fFRAAlBP/view,N/A - not specified,0
when vice president al gore's motorcade arrived at the sprawling hsi lai temple complex in southern ,https://drive.google.com/file/d/18_eUfG4csMAq2l4heXuc36F-L2tz7JWk/view,Asian,1
washington - former attorney general john ashcroft cannot be sued for his role in detaining an ameri,https://drive.google.com/file/d/13QadSlkaqIMGs5Byuop8wLslOKFWJGdX/view,N/A - not specified,0
It's expected that virtually all home audio devices will be wireless by 2019.Left: Powerbeats3 from,https://drive.google.com/file/d/1hlaMcW7ljP9YrOa9vDohwxn-POr8qjM-/view,N/A - not specified,0
"the bruins are negotiating with edmonton for left wing shayne corson, but general manager harry sind",https://drive.google.com/file/d/1p4cDztX8eIYdh0vqj6OkRknwzVBXndvn/view,N/A - not specified,0
"upset that the big dig tunnel in which a ceiling collapsed had never been inspected, us representati",https://drive.google.com/file/d/1dGbjkz4busAVw3W8AdQUAWjJETzlbeJC/view,N/A - not specified,0
A fifth-grade instructor goes over an equation during math class at Dever Elementary School in Bosto,https://drive.google.com/open?id=1jEz2UxsGkcNWOHJk5M1RJ7c09FTg8COU&usp=drive_copy,N/A - not specified,0
"racing to wrap up business before this year's session ends tomorrow, the house yesterday approved fu",https://drive.google.com/file/d/1YOowlJ4aAlKxpOSHUVgig2aZob8UyLmh/view,Asian,1
a quincy man who was pulled unconscious from the second floor of a rooming house in a suspected arso,https://drive.google.com/file/d/1ZcjdQx-NklPswdeuTcMWrkJtyJQlOhuc/view,N/A - not specified,0
President Trump gave a campaign-style speech at the Conservative Political Action Conference in Mary,https://drive.google.com/file/d/194_wfdnXGQ3EdOtGo7lTsNCjPuYFcgWr/view,White,1
"boston university president john silber, a potential candidate for governor in 1994, is striving to",https://drive.google.com/file/d/1-2hZ_ylo8mqYklzu3qr-kGqmsasSznoZ/view,N/A - not specified,0
It's expected that virtually all home audio devices will be wireless by 2019.Left: Powerbeats3 from,https://drive.google.com/open?id=1hlaMcW7ljP9YrOa9vDohwxn-POr8qjM-&usp=drive_copy,N/A - not specified,0
"racing to wrap up business before this year's session ends tomorrow, the house yesterday approved fu",https://drive.google.com/open?id=1YOowlJ4aAlKxpOSHUVgig2aZob8UyLmh&usp=drive_copy,N/A - not specified,0
a simple silver cross over the front door sets apart the red-brick building at the top of harbor str,https://drive.google.com/file/d/1RiIUVRdxdnGRfLBtfjJZ5rPYYme_b3Uw/view,Hispanic,1
Rykodisc's Jeff Rougvie worked with Bowie and will speak at the tribute. David Bowie departed planet,https://drive.google.com/file/d/1Q7zY5vL179B0_tDF8kMMPilx0uN5CXd_/view,N/A - not specified,0
"KUALA LUMPUR, Malaysia — For years, North Korea has rattled the world with its nuclear tests and i",https://drive.google.com/file/d/1u83cJPHMArk_vpec1GlqPiHS03NtbGXS/view,Asian,1
"frederick j. quinlan of west roxbury, a retired supreme judicial court clerk, died yesterday at st. ",https://drive.google.com/file/d/1-Fsh1vQaW7cHClFipj91mL4sxRRE9nMc/view,N/A - not specified,0
The shelter received thousands of inquiries about Phil after the dog was left in a crate by the side,https://drive.google.com/file/d/1_mblvrk41j9_KeTk0kXipoSc5z8P9871/view,N/A - not specified,0
those among us with celtic memories extending further back than darren daye may recall that during i,https://drive.google.com/file/d/1JtcVcLBTbSG4CtqvfEJCgmq5RNDBSyAL/view,N/A - not specified,0
The J.C. Penney Co. on Friday said it plans to close between 130 and 140 stores in the next several,https://drive.google.com/file/d/1eUzHGlGQwzClleH2QNXQl1fh9a0NeWMc/view,N/A - not specified,0
"bso kurt masur, conductor at: symphony hall, last night (repeats today, tomorrow, and tuesday) so wh",https://drive.google.com/file/d/1bBDh1EYPdBr1nQdizsumV7aiG87MFppB/view,N/A - not specified,0
Failed to extract text or unsupported file type,https://drive.google.com/open?id%3D1f8GKPHmk4C3g_LkcJ8rLuZ3CEHCrylYF%26usp%3Ddrive_copy&sa=D&source=editors&ust=1709758877218439&usg=AOvVaw2YwdcZdFIB5Tkjtxq0Ivfg,N/A - not specified,0
a health worker took a sample from a woman in her car at a testing station to test for covid-19 in n,https://drive.google.com/open?id=1vAjjQpxO_L6eA0vBw8M3CV93v1mhjNLs&usp=drive_copy,White,1
"brian sutter was fielding calls yesterday at his home in andover, but the former bruins coach didn't",https://drive.google.com/file/d/17PsTeVHA2_zZQMoJAoPb9W2IdS9m0vQW/view,N/A - not specified,0
The J.C. Penney Co. on Friday said it plans to close between 130 and 140 stores in the next several,https://drive.google.com/file/d/1eUzHGlGQwzClleH2QNXQl1fh9a0NeWMc/view,N/A - not specified,0
Failed to extract text or unsupported file type,https://drive.google.com/open?id%3D1_mblvrk41j9_KeTk0kXipoSc5z8P9871%26usp%3Ddrive_copy&sa=D&source=editors&ust=1709759161584264&usg=AOvVaw2YM9N4KyFDO7_4LwpQS0q0,White,1
Harvard's Bryce Aiken (22 points) finds some room to operate in the first half. Lying stomach down o,https://drive.google.com/open?id=1f8GKPHmk4C3g_LkcJ8rLuZ3CEHCrylYF&usp=drive_copy,Asian,1
It's expected that virtually all home audio devices will be wireless by 2019.Left: Powerbeats3 from,https://drive.google.com/open?id=1hlaMcW7ljP9YrOa9vDohwxn-POr8qjM-&usp=drive_copy,N/A - not specified,0
"Amanda Abbott (left) and Leonie Little-Lex are among a group of local artists who sold more than $4,",https://drive.google.com/file/d/1Bn_-qUqAdznmCmf82An0oVUdGYLMqNtj/view,Mixed Race,1